var,coef,word frequency
welcome,-0.372541091,49
actively,-0.446247873,52
their,0.121513439,3914
experiences,-0.111785938,693
thoughts,0.745397717,38
struggles,0.788325603,52
memories,0.472972537,96
world,0.211095299,821
selection,-0.114386672,61
recordings,-0.905179163,130
made,0.221396089,461
available,-0.439725903,224
projects,0.282357743,466
website,-1.19516383,201
used,-0.189473807,256
showcase,-0.207022717,533
artists,0.403983458,4030
resources,-0.095612005,275
r&d,0.109821296,1362
off,-0.003935734,121
feedback,0.319570922,546
it’s,0.394872682,154
sharings,-0.029524988,125
vault,0.017029299,156
my,-0.095425423,1824
existing,0.319578303,342
elements,-0.001392943,209
audience,-0.112252482,2026
interaction,-1.099393907,79
make,0.237350514,662
feel,-0.164499971,236
zero,0.794988279,22
contract,-0.163943298,17
between,0.130890643,772
ways,0.255647097,376
telling,0.018878787,123
class,-0.077236922,495
stories,0.583085576,927
shared,-0.759470478,335
"

the",0.273824583,243
project,-0.054442198,4963
aimed,-0.129714689,663
creatives,-0.654291762,630
employ,0.435521849,78
14,-0.075484574,202
early,-0.162447929,394
career,0.401685869,513
facilitate,0.662692075,174
sound,-0.240532659,709
pack,0.097235156,136
expanding,-0.881168308,114
network,0.414662048,363
next,-0.613670675,319
stage,-0.243417218,797
development,0.192042852,1966
"
",0.020328836,1694
broken,-0.013029736,31
contemporary,0.430405504,553
organisation,-0.21416709,237
responding,-0.228209045,127
exploring,-0.103606746,789
mental,0.147500982,810
health,0.142765973,911
responds,-0.211162399,50
context,0.183468438,142
middlesbrough,0.578544006,20
crisis,-0.255666506,179
england,-0.093279223,375
poverty,0.658979694,59
deprivation,-1.281793021,80
hold,-0.979730724,154
people,0.261952082,3470
back,0.199661612,241
realising,0.33580781,14
or,-0.093549654,882
believe,-0.775757765,74
vital,-0.207450104,146
here,0.458940215,97
there,-0.338515755,514
rates,-0.040136283,24
organisations,0.37534009,498
creativity,-0.303781376,515
active,-0.094423918,109
arts,0.095357274,2659
improve,0.602680438,278
community,0.586389302,4144
workshops,0.137860806,3684
toolkit,0.687762981,45
towards,-0.3994987,227
staging,-0.181514438,95
multi,0.090680466,315
exhibition,0.303282219,1207
gives,0.60247891,65
issues,0.069023965,430
vehicle,0.630438418,27
launched,-1.088656399,75
weve,-0.288294824,37
since,-0.420343885,234
25,-0.398775829,240
million,-0.466686794,23
streams,0.645931815,33
played,-0.478151618,58
londons,0.298774718,17
best,-0.065296664,230
jazz,0.196504759,402
cafe,-0.511108798,37
express,0.043766919,132
soho,0.053846288,85
signed,0.352164576,22
deal,-0.219247784,50
whilst,0.017400326,298
having,-0.00382925,148
other,0.460707899,814
jobs,0.438925306,24
industry,-0.678166581,795
nearly,-0.218156532,18
impossible,-0.420568799,13
without,-0.070575274,152
major,-0.006196173,177
label,0.381513187,59
backing,-0.446278073,25
access,0.045562974,1086
that’s,-0.40960713,14
why,-0.20279677,60
own,-0.008178931,718
more,-0.337427119,1067
can,0.016942098,1204
do,-0.115753224,327
because,-0.571346698,71
directly,-0.233860525,131
so,-0.089524033,407
get,0.360984994,209
fair,0.662903864,63
cut,0.363577838,25
removing,-0.211988074,30
need,0.116004629,381
already,-0.254526107,162
distribution,-0.124974396,68
publishing,0.312353357,109
written,0.276828913,265
simply,-0.659770039,15
record,0.412959144,341
effectively,0.240260675,32
promote,0.839948989,306
1,0.006450048,1158
spaces,-0.403797231,490
–,0.170272601,544
month,-0.146417887,372
long,-0.138319961,532
solo,-0.14381602,213
gallery,0.327426665,432
brighton,-0.305302159,184
includes,-0.276402918,331
interactive,-0.011747715,444
installation,-0.323035907,377
lgbtq,0.80835289,435
swimming,-0.039974116,14
club,0.293037271,173
ii,-0.227279456,29
installations,-0.653315383,157
sussex,-0.037591615,57
wildlife,1.143381208,34
trust,-0.032337199,149
visitors,-0.204669406,161
centre,-0.07500521,604
rye,0.242077996,12
fabric,0.559229115,42
nation,0.174528471,22
continuation,-0.057031095,23
union,0.288460379,41
flag,-0.649931258,11
include,-0.071997844,613
results,0.113924516,38
months,0.137109463,290
beloved,0.334029706,12
country,-0.255649546,139
funded,-0.327014855,366
2020,-0.351499686,198
finished,0.035353875,58
version,0.012886291,204
x,0.015191962,353
weeks,0.085870181,599
excellence,0.04417523,440
engaging,-0.226819073,497
calibre,0.883099138,23
puppets,-0.265682948,48
teenagers,-0.163992108,35
dates,-0.323749197,79
shows,-0.079389363,601
5,0.239363234,1019
enabling,-0.392797104,181
road,-0.089626962,53
venues;,-0.168102642,11
areas,0.357769811,489
not,0.131945506,625
toured,-0.227321489,52
model,-0.342001342,361
schools,-0.167943819,1047
accessibility,0.411805144,208
engage,-0.201528724,1266
neurodiverse,0.021699498,105
nd,-0.077647273,68
relaxed,0.583352295,97
10%,-0.070360317,18
increase,-0.017635333,373
consultant,0.11921554,78
sen,0.011957182,49
specialist,-0.110366954,150
inclusive,-0.172964689,446
resource,-0.306022338,161
neuro,-0.031148466,22
show,0.224526206,2263
environment,-0.115659267,299
incl,-0.016576616,201
social,0.173510869,995
out,0.073311852,587
area,-0.067090227,422
replace,-0.516361633,16
"
the",-0.12753052,270
ensure,-0.320547317,483
longevity,-0.118857374,21
hence,-0.094893276,14
ensuring,0.852923791,98
increased,-0.113073481,91
presence,-0.110491299,62
cultural,-0.097908177,1326
activity,0.012279393,553
enable,-0.418849141,364
continued,-0.255519978,61
moving,-0.27600266,195
beautifully,-0.161069198,11
constructed,-0.307384977,16
review,0.549195959,56
2,-0.008542773,2030
war,-0.129587465,93
one,-0.181374648,859
part,0.003583152,935
space,0.455232737,1004
lost,0.861008419,94
camp,-0.469247766,52
system,0.11379378,139
80,0.00624484,30
later,-0.048735835,75
try,0.526827919,49
them,0.062480713,1004
addressed,0.276554315,18
previous,0.436856306,287
changes,-0.184325677,64
detailed,-0.112445335,32
dynamism,1.529290541,22
was,0.031874414,620
your,0.331623456,137
grants,-0.329852046,14
created,-0.094948296,769
usa,-0.124535245,25
germany,0.150852151,20
grant,-0.128333891,184
brings,0.111249906,160
paying,0.908771607,26
supporting,0.473545951,391
recruitment,-0.335808146,52
rehearsal,0.384647114,411
13,-0.278233751,128
rural,0.204405756,403
secure,0.048111593,117
east,0.371296057,474
anglia,-0.604117718,38
post,-0.039040115,408
talks,-0.460413737,351
developed,-0.092009602,542
facing,0.672377547,105
stigma,-0.060029866,31
prejudice,-0.097195957,16
invisible,-0.731827375,31
disability,0.526402352,184
250,-0.181339872,29
TRUE,-0.20847816,88
about,-0.114883099,1237
pressure,-0.594783562,23
body,-0.20039447,260
seeks,0.618381896,98
reveal,-0.740398451,26
perspectives,-0.511796198,92
today’s,-0.285695719,20
delivered,-0.054198939,321
3,0.086751548,1821
parts,-0.472743,87
"

1",-0.599653004,21
preview,0.465094276,62
full,-0.042553498,490
length,0.339266859,83
indoor,0.684197474,42
dance,-0.015107826,1696
ft,0.088320293,33
bold,0.102380722,56
innovative,-0.483597565,332
12,-0.123409271,484
professional,-0.231040862,1177
film,-0.297012632,898
uniquely,-0.969720291,27
captured,0.353288135,36
entirely,-0.145968081,29
young,0.214694743,2506
premiered,0.424874896,50
rich,0.054839472,148
mix,0.311322006,139
"
3",-0.397575301,66
week,-0.054134306,988
participants,-0.087705154,1373
alongside,0.322379887,668
newly,0.455772199,76
commissioned,0.279907937,301
photographic,-0.386462705,70
disabled,-0.229341044,559
programmed,-0.238644774,76
7,0.122304247,387
different,-0.615905182,644
artworks,0.02408139,234
connecting,0.197040571,141
town,0.053030347,322
power,0.476034318,206
riverside,0.194014234,11
outdoor,0.234406784,377
galleries,-0.637923243,59
highlighting,0.390892711,71
heritage,0.089928346,421
digital,0.357053893,1336
